Epoch 437, Loss: 766252.5044642857
Epoch 438, Loss: 766062.9285714285
Epoch 439, Loss: 765006.4241071428
Epoch 440, Loss: 763797.8035714285
Epoch 441, Loss: 763942.0491071428
Epoch 442, Loss: 765478.375
Epoch 443, Loss: 770773.8214285715
Epoch 444, Loss: 776234.1205357143
Epoch 445, Loss: 763005.4375
Epoch 446, Loss: 762489.5089285715
Epoch 447, Loss: 760454.6428571428
Epoch 448, Loss: 759924.0491071428
Epoch 449, Loss: 759889.46875
Epoch 450, Loss: 760730.3839285715
Epoch 451, Loss: 763474.4508928572
Epoch 452, Loss: 765964.8794642857
Epoch 453, Loss: 759685.3125
Epoch 454, Loss: 758093.2857142857
Epoch 455, Loss: 757216.6339285715
Epoch 456, Loss: 754764.5803571428
Epoch 457, Loss: 753829.6383928572
Epoch 458, Loss: 752839.8526785715
Epoch 459, Loss: 752419.9330357143
Epoch 460, Loss: 753206.2410714285
Epoch 461, Loss: 751210.5133928572
Epoch 462, Loss: 750407.5178571428
Epoch 463, Loss: 753940.2723214285
Epoch 464, Loss: 751660.7633928572
Epoch 465, Loss: 756763.7098214285
Epoch 466, Loss: 759525.5803571428
Epoch 467, Loss: 754244.0982142857
Epoch 468, Loss: 748121.0848214285
Epoch 469, Loss: 747293.6607142857
Epoch 470, Loss: 747071.15625
Epoch 471, Loss: 747719.2232142857
Epoch 472, Loss: 746823.4419642857
Epoch 473, Loss: 746831.3303571428
Epoch 474, Loss: 746682.7455357143
Epoch 475, Loss: 746320.1383928572
Epoch 476, Loss: 745378.9955357143
Epoch 477, Loss: 742028.5
Epoch 478, Loss: 739773.4151785715
Epoch 479, Loss: 740878.7008928572
Epoch 480, Loss: 741498.2098214285
Epoch 481, Loss: 743568.5848214285
Epoch 482, Loss: 745387.8839285715
Epoch 483, Loss: 736732.7455357143
Epoch 484, Loss: 737073.9642857143
Epoch 485, Loss: 735055.2276785715
Epoch 486, Loss: 732183.2232142857
Epoch 487, Loss: 731646.125
Epoch 488, Loss: 732146.3660714285
Epoch 489, Loss: 737920.7901785715
Epoch 490, Loss: 747053.1607142857
Epoch 491, Loss: 732042.7008928572
Epoch 492, Loss: 732863.5982142857
Epoch 493, Loss: 727080.03125
Epoch 494, Loss: 725691.7276785715
Epoch 495, Loss: 723720.4910714285
Epoch 496, Loss: 723108.6339285715
Epoch 497, Loss: 722957.6517857143
Epoch 498, Loss: 723793.7053571428
Epoch 499, Loss: 727632.6383928572
Epoch 500, Loss: 728801.9330357143
Model saved at ./modelsL3e-4/model_epoch_500.pth
Epoch 501, Loss: 721275.6651785715
Epoch 502, Loss: 718324.1160714285
Epoch 503, Loss: 717113.1964285715
Epoch 504, Loss: 713512.1339285715
Epoch 505, Loss: 712517.7678571428
Epoch 506, Loss: 712217.0625
Epoch 507, Loss: 711422.3973214285
Epoch 508, Loss: 712140.4955357143
Epoch 509, Loss: 712663.3214285715
Epoch 510, Loss: 713138.4241071428
Epoch 511, Loss: 713617.6071428572
Epoch 512, Loss: 705053.4821428572
Epoch 513, Loss: 705755.5535714285
Epoch 514, Loss: 704150.0446428572
Epoch 515, Loss: 699742.7276785715
Epoch 516, Loss: 699435.8571428572
Epoch 517, Loss: 697643.5089285715
Epoch 518, Loss: 696767.6607142857
Epoch 519, Loss: 698406.3392857143
Epoch 520, Loss: 700677.8794642857
Epoch 521, Loss: 707608.6696428572
Epoch 522, Loss: 699827.7544642857
Epoch 523, Loss: 694260.3660714285
Epoch 524, Loss: 689802.0133928572
Epoch 525, Loss: 688004.0491071428
Epoch 526, Loss: 685988.0044642857
Epoch 527, Loss: 684164.5803571428
Epoch 528, Loss: 682862.09375
Epoch 529, Loss: 681981.2008928572
Epoch 530, Loss: 680807.3839285715
Epoch 531, Loss: 679825.7544642857
Epoch 532, Loss: 682411.2767857143
Epoch 533, Loss: 688122.7678571428
Epoch 534, Loss: 695239.4464285715
Epoch 535, Loss: 678906.0357142857
Epoch 536, Loss: 680121.8794642857
Epoch 537, Loss: 674174.1294642857
Epoch 538, Loss: 672102.7857142857
Epoch 539, Loss: 670087.90625
Epoch 540, Loss: 668446.375
Epoch 541, Loss: 667051.375
Epoch 542, Loss: 665798.6919642857
Epoch 543, Loss: 664508.96875
Epoch 544, Loss: 663938.7008928572
Epoch 545, Loss: 663196.0625
Epoch 546, Loss: 665198.875
Epoch 547, Loss: 668742.2946428572
Epoch 548, Loss: 681263.9732142857
Epoch 549, Loss: 682077.2321428572
Epoch 550, Loss: 682132.1875
Epoch 551, Loss: 691872.3660714285
Epoch 552, Loss: 709339.8705357143
Epoch 553, Loss: 703797.0982142857
Epoch 554, Loss: 675603.7276785715
Epoch 555, Loss: 664978.0892857143
Epoch 556, Loss: 658654.2633928572
Epoch 557, Loss: 655197.2857142857
Epoch 558, Loss: 652466.5982142857
Epoch 559, Loss: 650756.3616071428
Epoch 560, Loss: 649276.6517857143
Epoch 561, Loss: 648070.7991071428
Epoch 562, Loss: 648026.2991071428
Epoch 563, Loss: 647801.65625
Epoch 564, Loss: 647786.1071428572
Epoch 565, Loss: 647908.9375
Epoch 566, Loss: 649045.3080357143
Epoch 567, Loss: 650944.8214285715
Epoch 568, Loss: 652291.9107142857
Epoch 569, Loss: 655801.7633928572
Epoch 570, Loss: 654235.3214285715
Epoch 571, Loss: 644495.8928571428
Epoch 572, Loss: 638981.8883928572
Epoch 573, Loss: 636873.0357142857
Epoch 574, Loss: 635925.7857142857
Epoch 575, Loss: 634763.1741071428
Epoch 576, Loss: 633338.0
Epoch 577, Loss: 632984.7767857143
Epoch 578, Loss: 631964.7946428572
Epoch 579, Loss: 631290.6875
Epoch 580, Loss: 630380.3258928572
Epoch 581, Loss: 629711.2678571428
Epoch 582, Loss: 628787.6785714285
Epoch 583, Loss: 628229.0892857143
Epoch 584, Loss: 627439.8035714285
Epoch 585, Loss: 626487.6517857143
Epoch 586, Loss: 625477.4419642857
Epoch 587, Loss: 624530.0758928572
Epoch 588, Loss: 623438.9910714285
Epoch 589, Loss: 623363.5446428572
Epoch 590, Loss: 622361.2723214285
Epoch 591, Loss: 621889.2098214285
Epoch 592, Loss: 621073.0446428572
Epoch 593, Loss: 619841.8526785715
Epoch 594, Loss: 618882.9821428572
Epoch 595, Loss: 618285.40625
Epoch 596, Loss: 617115.4241071428
Epoch 597, Loss: 616552.2767857143
Epoch 598, Loss: 616308.7321428572
Epoch 599, Loss: 616224.2321428572
Epoch 600, Loss: 615426.0178571428
Epoch 601, Loss: 615405.25
